first_month,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8
2022-09-01,111,49,17,69,29,16,33,11
2022-10-01,60,16,74,30,8,21,12,10
2022-11-01,19,79,30,7,18,15,6,24
2022-12-01,56,19,3,13,8,5,14,4
2023-01-01,104,37,53,28,21,62,17,44
2023-02-01,15,34,15,12,19,9,18,45
2023-03-01,23,5,2,14,4,6,21,7
2023-04-01,35,9,23,10,24,45,20,23
2023-05-01,18,23,9,19,38,20,7,3
2023-06-01,17,6,9,19,2,3,3,9
2023-07-01,27,37,73,29,33,20,24,1
2023-08-01,15,41,10,6,5,15,0,0
2023-09-01,91,33,30,16,31,0,0,0
2023-10-01,81,60,39,78,2,0,0,0
2023-11-01,43,20,34,0,0,0,0,0
2023-12-01,33,44,0,0,0,0,0,0
2024-01-01,45,0,0,0,0,0,0,0
2024-02-01,1,0,0,0,0,0,0,0
2024-03-01,0,0,0,0,0,0,0,0
