first_month,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8
2022-09-01,92198.0,38209.0,7992.0,12935.0,13733.0,987.0,6936.0,707.0
2022-10-01,22654.0,7134.0,21128.0,5351.0,438.0,1918.0,2516.0,573.0
2022-11-01,12729.0,20140.0,7625.0,0.0,2813.0,2393.0,1232.0,5842.0
2022-12-01,18286.0,4619.0,0.0,2437.0,2440.0,1246.0,3606.0,1557.0
2023-01-01,25405.0,5812.0,5193.0,6024.0,3942.0,8569.0,3950.0,10254.0
2023-02-01,5143.0,15372.0,7290.0,2375.0,3667.0,3930.0,2734.0,9221.0
2023-03-01,2920.0,466.0,0.0,2507.0,0.0,2338.0,5835.0,638.0
2023-04-01,9588.0,1194.0,4168.0,2134.0,6100.0,4919.0,1583.0,5914.0
2023-05-01,1942.0,2648.0,2332.0,4448.0,12845.0,4664.0,2490.0,50.0
2023-06-01,2139.0,1079.0,1333.0,3292.0,0.0,1260.0,378.0,1136.0
2023-07-01,14891.0,8359.0,17615.0,8410.0,7126.0,7279.0,4957.0,0.0
2023-08-01,4590.0,11341.0,3893.0,950.0,1054.0,3545.0,,
2023-09-01,20755.0,12738.0,6826.0,2135.0,8011.0,,,
2023-10-01,23187.0,12504.0,9773.0,12265.0,0.0,,,
2023-11-01,9474.0,5577.0,7808.0,,,,,
2023-12-01,8879.0,14373.0,,,,,,
2024-01-01,10072.0,,,,,,,
2024-02-01,507.0,,,,,,,
2024-03-01,,,,,,,,
