CustomerCity,month_0_count,month_1_count,month_2_count,month_3_count,month_4_count,month_5_count,month_6_count,month_7_count,month_8_count
Aamsor,2,0,0,0,0,0,0,0,0
Abohar,16,0,0,0,0,0,0,0,0
Abu Dhabi,6,1,0,0,0,0,0,0,0
Achina,4,1,0,0,0,0,0,0,0
Adampur,1,0,0,0,0,0,0,0,0
Adegaon,2,0,0,0,0,0,0,0,0
Adgaon,1,0,0,0,0,0,0,0,0
Adoni,1,0,0,0,0,0,0,0,0
Adundra,4,0,0,0,0,0,0,0,0
Agargaon,2,0,0,0,0,0,0,0,0
Agartala,90,0,1,0,0,0,0,0,0
Aghara,4,0,0,0,0,1,0,0,0
Agous,1,0,0,0,0,0,0,0,0
Agra,141,1,1,2,1,1,1,0,0
Agrod,2,0,0,0,0,0,0,0,0
Agroha,1,0,0,0,0,0,0,0,0
Ahirka,21,0,0,0,0,0,0,0,0
Ahli Kalan,1,0,0,0,0,0,0,0,0
Ahmadabad,1,0,0,0,0,0,0,0,0
Ahmedabad,4653,33,19,15,12,6,7,8,6
Ahmednagar,3,0,0,0,0,0,0,0,0
Ahukhana,1,0,0,1,0,0,0,0,0
Ahulana,5,0,0,0,0,0,0,0,0
Aistala,3,0,0,0,0,0,0,0,0
Aizawl,513,5,2,1,0,0,0,0,0
Ajali,2,0,0,0,0,0,0,0,0
Ajman,1,0,0,0,0,0,0,0,0
Ajmer,91,1,0,0,0,0,0,0,0
Ajnod,1,0,0,0,0,0,0,0,0
Akaltara,3,0,0,0,0,0,0,0,0
Akanda,2,0,0,0,0,1,0,0,0
Akbarpur,2,0,0,0,0,0,0,0,0
Akodia,2,0,0,0,0,0,0,0,0
Akola,10,0,0,0,0,0,0,0,0
Akot,6,0,0,0,0,0,0,0,0
Al Qatif,1,0,0,0,0,0,0,0,0
Aladu,1,0,0,0,0,0,0,0,0
Alai,2,0,0,0,0,0,0,0,0
Alangad,1,0,0,0,0,0,0,0,0
Alangayam,1,0,0,0,0,0,0,0,0
Alappuzha,51,0,0,0,0,0,0,0,0
Alawalpur,1,0,0,0,0,0,0,0,0
Alegaon,1,0,0,0,0,0,0,0,0
Alibag,9,0,0,0,0,0,0,0,0
Aligarh,38,0,0,0,0,0,0,0,0
Alipurduar,49,0,1,0,0,0,0,0,0
Allachour,4,0,0,0,0,0,0,0,0
Allahpur,1,0,0,0,0,0,0,0,0
Alluna,1,0,0,0,0,0,0,0,0
Aluva,4,0,0,0,0,0,0,0,1
Alwar,23,0,0,0,0,0,0,0,0
Amadalpur,1,0,0,0,0,0,0,0,0
Amalapuram,5,0,0,0,1,0,0,0,0
Amalsad,2,0,0,0,0,0,0,0,0
Amane,78,1,0,1,0,0,0,0,0
Amani,1,0,0,0,0,0,0,0,0
Ambala,89,1,0,0,0,0,0,0,0
Ambassa,1,0,0,0,0,0,0,0,0
Ambikapur,4,0,0,0,0,0,0,0,0
Ambli Menpur,4,0,0,0,0,0,0,0,0
Ambur,2,0,0,0,0,0,0,0,0
Amera,8,0,0,0,0,0,0,0,0
Amethi,5,0,0,0,0,0,0,0,0
Amin,1,0,0,0,0,0,0,0,0
Amloh,4,0,0,0,0,0,0,0,0
Amman,1,0,0,0,0,0,0,0,0
Amona,1,0,0,0,0,0,0,0,0
Amravati,18,0,0,0,0,0,0,0,0
Amreli,7,1,0,0,0,0,0,0,0
Amritsar,448,3,2,4,0,0,0,0,1
Amroha,6,0,0,0,0,0,0,0,0
Amstelveen,1,0,0,0,0,0,0,0,0
Amsterdam,1,0,0,0,0,0,0,0,0
Amtekoppa,2,0,1,0,0,0,0,0,0
Anakapalle,1,0,0,0,0,0,0,0,0
Anand,43,0,0,0,0,0,0,0,0
Anantapur,57,0,1,0,0,0,0,0,0
Anaparthi,1,0,0,0,0,0,0,0,0
Anchal,1,0,0,0,0,0,0,0,0
Andal,1,0,0,0,0,0,0,0,0
Anjar,2,0,0,0,0,0,0,0,0
Anjuna,1,0,0,0,0,0,0,0,0
Ankleshwar,15,0,0,0,1,0,0,0,0
Anrudhwa,3,0,0,0,0,0,0,0,0
Arakere,1,0,0,0,0,0,0,0,0
Arambag,3,0,0,0,0,0,0,0,0
Ariyalur,2,0,0,0,0,0,0,0,0
Arrah,2,0,0,0,0,0,0,0,0
Asansol,215,5,1,3,0,0,0,0,0
Ashburn,3,0,0,0,0,0,0,0,0
Ashdod,1,0,0,0,0,0,0,0,0
Asika,2,0,0,0,0,0,0,0,0
Asoli,1,0,0,0,0,0,0,0,0
Assagao,5,0,0,0,0,0,0,0,0
Atlanta,2,2,1,1,1,1,0,0,0
Auckland,2,0,0,1,0,0,0,0,0
Auraiya,3,0,0,0,0,0,0,0,0
Aurangabad,112,1,0,0,0,0,1,0,0
Azamgarh,13,0,0,0,0,0,0,0,0
Babail,7,0,0,0,0,0,0,0,0
Babain,4,0,0,0,0,0,0,0,0
Bachhrawan,4,0,0,0,0,0,0,0,0
Bacolod,1,0,0,0,0,0,0,0,0
Badagaon,1,0,0,0,0,0,0,0,0
Baddi,5,0,0,0,0,0,0,0,0
Baddowal,2,0,0,0,0,0,0,0,0
Badgaon,1,0,0,0,0,0,0,0,0
Badhindol,1,0,0,0,0,0,0,0,0
Badu,6,0,0,0,0,0,0,0,0
Badvel,1,0,0,0,0,0,0,0,0
Bagalkot,1,0,0,0,0,0,0,0,0
Bagbera colony,1,0,0,0,0,0,0,0,0
Baghnaree,1,0,0,0,0,0,0,0,0
Baghpat,1,0,0,0,0,0,0,0,0
Bagora,4,0,0,0,0,0,0,0,0
Bagru,1,0,0,0,0,0,0,0,0
Bagula,2,0,0,0,0,0,0,0,0
Bahraich,3,0,1,0,0,0,0,0,0
Bahtarai,3,0,0,0,0,0,0,0,0
Bahu-Akbarpur,1,0,0,0,0,0,0,0,0
Baindur,1,0,0,0,0,0,0,0,0
Balaghat,1,0,0,0,0,0,0,0,0
Balangir,12,0,0,0,0,0,0,0,0
Balarampur,1,0,0,0,0,0,0,0,0
Balia,3,0,0,0,0,0,0,0,0
Balisahi,1,0,0,0,0,0,0,0,0
Ballari,7,0,0,0,0,0,0,0,0
Ballia,1,0,0,0,0,0,0,0,0
Baloda Bazar,2,0,0,0,0,0,0,0,0
Baloo,2,0,0,0,0,0,0,0,0
Balotra,2,0,0,0,0,0,0,0,0
Baluakata,7,0,0,0,0,0,0,0,0
Balurghat,7,0,0,0,0,0,0,0,0
Bamla,1,0,0,0,0,0,0,0,0
Bandia,1,0,0,0,0,0,0,0,0
Bangaon,3,0,0,0,0,0,0,0,0
Bango,1,0,0,0,0,0,0,0,0
Bankura,29,0,0,0,0,0,0,0,0
Banur,1,0,0,0,0,0,0,0,0
Bapatla,1,0,0,0,0,0,0,0,0
Bapupura,1,0,0,0,0,0,0,0,0
Baramati,3,0,0,0,0,0,0,0,0
Baran,9,0,0,0,0,0,0,0,0
Baraut,3,0,0,0,0,0,0,0,0
Bareilly,35,0,1,0,0,0,0,0,0
Bargarh,9,0,0,0,0,0,0,0,0
Bari Khurd,5,0,0,0,0,0,0,0,0
Baripada,16,0,0,0,0,0,0,0,0
Bariya,1,0,0,0,0,0,0,0,0
Barmer,2,0,0,0,0,0,0,0,0
Barnala,9,0,0,0,0,0,0,0,0
Barpathar,4,0,0,0,0,0,0,0,0
Barsat,3,0,0,0,0,0,0,0,0
Barshi,1,0,0,0,0,0,0,0,0
Bartlesville,1,0,0,0,0,0,0,0,0
Barwani,4,0,0,0,0,0,0,0,0
Barwara,1,0,0,0,0,0,0,0,0
Basantpur,3,0,0,0,0,0,0,0,0
Basavani,2,0,0,0,0,0,0,0,0
Basrah,1,0,0,0,0,0,0,0,0
Basti,4,0,0,0,0,0,0,0,0
Basugaon,5,0,0,0,0,0,0,0,0
Batala,8,0,0,0,0,0,0,0,0
Bathinda,108,0,0,3,0,0,1,0,0
Batra,1,0,0,0,0,0,0,0,0
Bawal,1,0,0,0,0,0,0,0,0
Beaconsfield,1,0,0,0,0,0,0,0,0
Beawar Khas,1,0,1,0,0,0,0,0,0
Becharaji,1,0,0,0,0,0,0,0,0
Beed,3,0,0,0,0,0,0,0,0
Begunia,4,0,0,0,0,0,0,0,0
Begusarai,2,0,0,0,0,0,0,0,0
Behror,1,0,0,0,0,0,0,0,0
Belagavi,32,0,0,0,0,0,0,0,0
Bellevue,1,0,0,0,0,0,0,0,0
Belnadi,3,0,0,0,0,0,0,0,0
Belonia,1,0,0,0,0,0,0,0,0
Bengaluru,10297,48,35,22,23,14,14,14,11
Berchha Datar,3,0,0,0,0,0,0,0,0
Berhampore,26,0,0,0,0,0,0,0,0
Berlin,1,0,0,0,0,0,0,0,0
Bettiah,8,0,0,1,0,0,0,0,0
Betul Bazar,2,0,0,0,0,0,0,0,0
Bhachalva,9,0,0,1,0,0,0,0,0
Bhadohi Nagar Palika,2,0,0,0,0,0,0,0,0
Bhadrachalam,1,0,0,0,0,0,0,0,0
Bhadrak,6,0,0,0,0,0,0,0,0
Bhadreswar,2,0,0,0,0,0,0,0,0
Bhagal,1,0,0,0,0,0,0,0,0
Bhalaipur Purban,1,0,0,0,0,0,0,0,0
Bhaliala,5,0,0,0,0,0,0,0,0
Bhandara,14,0,0,0,0,0,0,0,0
Bhandari Pokhari,14,0,0,0,1,0,0,0,0
Bhanjanagar,4,0,0,0,0,0,0,0,0
Bhanpur,2,0,0,0,0,0,0,0,0
Bhanvad,4,0,0,0,0,0,0,0,0
Bharoli,1,0,0,0,0,0,0,0,0
Bharuch,20,1,0,0,0,0,0,0,0
Bhatapara,2,0,0,0,0,0,0,0,0
Bhatkal,5,0,0,0,0,0,0,0,0
Bhatpara,1,0,0,0,0,0,0,0,0
Bhavnagar,21,0,0,0,0,0,0,0,0
Bhawanipatna,3,0,0,0,0,0,0,0,0
Bhilwara,3,0,0,0,0,0,0,0,0
Bhimavaram,9,0,0,0,0,0,0,0,0
Bhind,3,0,0,0,0,0,0,0,0
Bhiwadi,3,0,0,0,0,0,0,0,0
Bhiwani,32,0,0,0,0,0,0,0,0
Bhogpur,1,0,0,0,0,0,0,0,0
Bhojpur,1,0,0,0,0,0,0,0,0
Bhojpur Najik,3,0,0,0,0,0,0,0,0
Bholath,1,0,0,0,0,0,0,0,0
Bhopal,870,4,2,3,0,1,2,2,1
Bhubaneswar,2398,14,7,10,2,5,2,0,2
Bhucho Mandi,1,0,0,0,0,0,0,0,0
Bhuj,13,0,0,0,0,0,0,0,0
Bhuna,2,0,0,0,0,0,0,0,0
Bhurarani,5,0,0,0,0,0,0,0,0
Bhusawal,7,0,0,0,0,0,0,0,0
Bidar,6,0,0,0,0,0,0,0,0
Bidhuna,3,0,0,0,0,0,0,0,0
Bihar Sharif,9,0,0,0,0,0,0,0,0
Bijhauli,1,0,0,0,0,0,0,0,0
Bijnor,36,0,0,1,0,0,0,0,0
Bikaner,18,0,0,0,0,0,0,0,0
Bikarampur,6,0,0,0,0,0,0,0,0
Bilaspur,1,0,0,0,0,0,0,0,0
Bilhari,1,0,0,0,0,0,0,0,0
Bilimora,1,0,0,0,0,0,0,0,0
Biratnagar,1,0,0,0,0,0,0,0,0
Birendranagar,1,0,0,0,0,0,0,0,0
Birpara,1,0,0,0,0,0,0,0,0
Bishkek,1,0,0,0,0,0,0,0,0
Bishnupur,2,0,0,0,0,0,0,0,0
Boisar,15,0,0,0,0,0,1,0,0
