,FirstOrderDate,marketing_channel,First_Ord_Value,SecondOrdValue,D2_D1,customer_count
0,2022-11-22,Direct/SEO,590.6075715604801,622.9767441860465,-147.06976744186048,1065
1,2023-01-16,Direct/SEO,618.2527472527472,492.85714285714283,-132.26984126984127,1055
2,2023-01-01,Others,487.1226158038147,455.8,-135.53333333333333,367
3,2023-09-08,Direct/SEO,657.8456098998232,759.4247787610619,-35.67256637168141,1626
4,2023-12-20,Facebook,687.4046762589928,661.5,-35.0,552
5,2022-11-06,Facebook,469.31641285956005,499.23333333333335,-207.83333333333334,588
6,2023-09-16,Direct/SEO,674.027079303675,694.8965517241379,-55.827586206896555,1002
7,2022-09-17,Facebook,346.3412162162162,497.0,-164.0,295
8,2022-10-13,MyRewards,356.56944444444446,,,143
9,2023-10-04,Others,585.1906507791017,747.3333333333334,-64.77777777777777,1083
10,2023-10-05,Others,615.4924623115578,160.0,-59.0,397
11,2023-01-06,Facebook,603.001012145749,657.6857142857143,-137.57142857142858,732
12,2023-01-28,Others,539.4198645598194,703.0,-207.3684210526316,442
13,2023-03-27,Direct/SEO,765.437908496732,389.2857142857143,-181.28571428571428,150
14,2023-01-13,Instagram,374.625,,,32
15,2023-11-23,Facebook,656.7894736842105,769.875,-54.125,1113
16,2023-04-26,MyRewards,361.36764705882354,449.0,-181.0,67
17,2023-06-23,Affiliate,772.75,,,4
18,2023-06-06,Direct/SEO,652.8266509433962,681.7096774193549,-113.93548387096774,821
19,2023-04-19,Direct/SEO,595.3869047619048,464.3333333333333,-95.0,170
20,2023-07-20,Others,738.25768321513,838.4,-106.0,422
21,2023-04-26,Google,605.3693181818181,852.5,-122.0,175
22,2023-01-13,Others,655.9517102615694,795.5714285714286,-123.35714285714286,494
23,2023-10-24,Others,594.8308270676691,649.0,-3.0,264
24,2023-10-25,Facebook,715.6738660907127,534.0,-48.0,459
25,2022-09-29,Facebook,355.40909090909093,476.5,-152.86363636363637,372
26,2023-05-29,Facebook,649.6592920353983,741.6,-87.75,893
27,2023-07-24,Google,865.5,806.5714285714286,-47.42857142857143,111
28,2023-12-10,MyRewards,217.66666666666666,,,3
29,2023-10-27,Others,585.4725738396625,662.0,-52.0,471
30,2023-07-16,Others,772.7387387387388,1110.0,-34.0,222
31,2022-10-22,Others,404.7293233082707,617.5555555555555,-170.22222222222223,129
32,2022-09-28,Facebook,308.03823529411767,498.60869565217394,-181.17391304347825,337
33,2022-11-04,Google,382.14102564102564,299.4,-151.8,77
34,2023-08-06,Google,647.1792452830189,561.25,-139.0,104
35,2023-02-11,Others,610.2679900744417,750.1428571428571,-251.14285714285714,401
36,2024-02-29,Facebook,730.6586538461538,,,208
37,2023-11-09,Google,712.0674846625767,,,162
38,2023-10-20,Others,592.5126582278481,,,473
39,2024-02-08,Facebook,775.0826210826211,437.2,-7.8,346
40,2023-11-29,Google,641.4754098360655,,,61
41,2023-03-02,MyRewards,347.38461538461536,,,13
