,FirstOrderDate,marketing_channel,CV_90,customer_count
0,2022-12-12,Direct/SEO,817.7777777777778,382
1,2023-07-26,Facebook,917.7665369649806,489
2,2023-10-04,Google,655.8864864864864,182
3,2022-09-19,Direct/SEO,755.1006160164271,442
4,2023-10-03,Direct/SEO,771.2194444444444,334
5,2023-07-14,Direct/SEO,788.3769696969697,745
6,2023-01-01,Google,508.1159420289855,68
7,2023-03-02,Others,654.4144736842105,449
8,2023-04-10,Direct/SEO,808.381495564005,732
9,2022-10-04,Direct/SEO,632.3467980295567,962
10,2022-10-30,Direct/SEO,1335.85350877193,1040
11,2023-09-13,Direct/SEO,693.2569169960474,474
12,2023-12-03,Others,576.4046511627907,1072
13,2024-02-23,Facebook,684.3504531722054,328
14,2023-08-06,Affiliate,463.9310344827586,29
15,2022-11-04,Others,497.7504244482173,559
16,2023-08-21,Others,585.3269230769231,257
17,2022-10-07,MyRewards,335.768115942029,69
18,2023-11-09,Others,697.4709762532982,753
19,2023-11-29,Others,619.2912087912088,182
20,2023-01-29,Direct/SEO,746.1283138918345,877
21,2023-07-20,Google,878.16,48
22,2023-03-02,Instagram,319.57142857142856,13
23,2023-10-27,Google,702.937984496124,128
24,2024-02-14,Others,656.9418316831683,804
25,2023-05-16,Others,730.9767441860465,509
26,2024-02-03,Others,656.3333333333334,706
27,2023-08-06,Others,555.3280346820809,683
28,2022-10-13,Others,456.33098591549293,539
29,2022-10-22,MyRewards,351.57142857142856,28
30,2022-11-04,Instagram,407.5,52
31,2022-12-06,Others,540.6466666666666,135
32,2023-12-29,Direct/SEO,658.7320143884892,541
33,2023-10-08,Facebook,704.398773006135,644
34,2023-01-18,Facebook,638.8936170212766,47
35,2023-07-24,Others,796.9331550802139,365
36,2023-05-16,Affiliate,488.17391304347825,22
37,2023-11-26,Facebook,685.6795774647887,281
38,2023-02-11,MyRewards,393.54285714285714,65
39,2023-07-24,Affiliate,835.1666666666666,12
40,2023-07-20,MyRewards,474.75,35
41,2023-06-23,Google,978.9767441860465,40
42,2023-07-17,Others,755.0291262135922,102
43,2023-12-10,Affiliate,1039.0,1
44,2023-01-13,Google,463.0416666666667,48
