,FirstOrderDate,CustomerCity,CV_90,customer_count
0,2023-10-20,Guwahati,747.8085106382979,43
1,2023-12-03,Jaipur,593.5875,79
2,2022-10-04,Delhi,479.4926315789474,445
3,2022-09-19,Bengaluru,1111.9285714285713,58
4,2022-09-14,Mumbai,821.5395894428152,309
5,2023-01-06,Indore,563.9375,46
6,2022-09-14,Kolkata,637.3863636363636,325
7,2022-10-30,Delhi,2384.8852097130243,405
8,2023-09-13,Bengaluru,606.5555555555555,80
9,2022-12-16,Ahmedabad,660.22,46
10,2023-01-01,Panchkula,1663.5714285714287,2
11,2022-11-06,Indore,640.1923076923077,47
12,2022-12-12,Delhi,643.5428571428571,160
13,2023-02-10,Mumbai,671.3096234309623,224
14,2023-01-20,Kolkata,668.2590909090909,207
15,2022-10-07,Guwahati,470.6923076923077,12
16,2023-11-29,Sahibzada Ajit Singh Nagar,1932.0,1
17,2023-01-29,Delhi,616.5856573705179,485
18,2023-09-13,Delhi,677.627027027027,179
19,2022-09-29,Firozpur,4601.0,1
20,2023-07-14,Delhi,816.9333333333333,212
21,2022-09-15,Mumbai,496.96610169491527,115
22,2023-10-20,Surat,627.8571428571429,12
23,2023-10-05,Surat,544.0,12
24,2024-02-23,Ghaziabad,845.4285714285714,7
25,2023-04-10,Delhi,647.7109523809523,402
26,2022-12-26,Hyderabad,738.439024390244,36
27,2023-11-09,Bhubaneswar,666.5333333333333,45
28,2023-11-04,Chennai,553.3333333333334,9
29,2023-11-09,Patna,711.6493506493506,76
30,2023-01-01,Surat,530.5263157894736,18
31,2023-04-10,Lucknow,626.0683760683761,112
32,2023-09-16,Kasaragod,1160.0,2
33,2023-09-08,,682.6120218579235,172
34,2023-05-16,Jaipur,727.2950819672132,59
35,2024-02-08,Boothgarh,604.3214285714286,28
36,2022-11-18,Mumbai,596.5767634854772,230
37,2023-10-28,Erode,511.5,2
38,2023-11-26,Hyderabad,848.2,42
39,2023-04-26,Bijnor,633.0,4
40,2023-11-23,Coimbatore,703.34375,32
41,2023-01-01,Guwahati,646.5555555555555,25
42,2023-04-10,Bengaluru,575.8984375,125
43,2023-07-24,Pimpri-Chinchwad,786.7,87
44,2022-10-30,Bengaluru,572.1287128712871,192
45,2023-01-01,Kalyan,479.42857142857144,6
46,2023-10-28,Chennai,651.9310344827586,87
47,2023-05-16,Pimpri-Chinchwad,681.3196721311475,119
48,2023-04-29,Muttayyapuram,395.0,1
49,2023-10-28,Dadri,495.0,1
50,2022-11-06,Boothgarh,438.14285714285717,61
51,2022-12-12,Lucknow,863.4285714285714,42
52,2023-10-28,New Delhi,616.0266666666666,75
53,2024-02-03,Pimpri-Chinchwad,628.7176470588236,86
54,2023-01-29,Bengaluru,569.9150326797386,147
55,2023-01-13,Surat,535.0357142857143,28
56,2023-07-26,Dehradun,888.9,18
57,2023-12-20,Gorakhpur,449.0,2
58,2023-07-20,Guwahati,719.9565217391304,23
59,2024-02-06,Ahmedabad,697.7916666666666,46
60,2023-05-29,Boothgarh,800.2833333333333,58
61,2023-07-24,Patna,872.1964285714286,55
62,2023-10-03,Delhi,742.08125,151
63,2024-01-14,Mumbai,642.3083700440528,218
64,2024-01-02,Mumbai,673.3608695652174,226
65,2022-10-04,Lucknow,504.45864661654133,128
66,2023-09-13,Lucknow,541.2888888888889,45
67,2023-08-06,Jaipur,825.8571428571429,65
68,2023-04-26,Pimpri-Chinchwad,713.4516129032259,93
